, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.6250248374933733,1.6859527267409866,1.4383508768729114,1.485852523685476,1.459816497534092,1.419471216609429,1.4328786189062839,2.3951979530081284,1.841894540115761,1.4270235479839783,1.4443914123685377,1.9080084333583083,2.0020424558239838,1.7250759156953075,2.8664310834861912,4.075513849736273,6.1607294497768565,8.723268490164575,2.087335909090714,1.5898880919703249,1.8540109503366835,1.8056118884590993,1.5678023755752295,2.999149572876229,3.3415088072736245,3.3458734879724625,3.070269901433937,2.467961031964003,2.215636520446944,2.1794059673271677,2.0837516109106047,2.2579308635578546,2.0238593196087464,3.6086329206132834,3.0332876979556906,2.380573505786909,2.9141725424098466,2.377185592911175,2.008470255375588,1.8057835524452004,1.8726062796674843,1.9875688355123273,2.119114304673935,1.7723464631142383,1.7015338058807767
 TLL05,1.6250248374933733,0.0,1.8239482811799295,3.3840452098915823,1.7639510671618668,1.589874478087374,1.8091373845541687,1.9250472838388462,36.44609850027273,1.6004159324459233,1.7413203554354786,1.7403596415526792,1.9981333024973766,1.8210882976561877,2.0961168873645146,4.241389097532022,3.624415106026386,4.0576639472763265,5.774881195848846,1.7480972466378215,2.1744400978211127,2.626330628623213,2.499908405467499,1.6011685940182427,2.0815982831574322,2.2376276165007463,2.8571270230959818,2.75182204048916,1.950336437999326,2.9624237673721874,4.375854768687651,2.308393692180173,1.7490990078790303,1.8390333680556348,3.298197408296495,7.081647917009668,3.757938121216138,3.5758334925441058,2.844434641045981,1.9006614025634645,2.734712513816508,2.1313459896322327,2.2865721341554286,2.491723555868353,2.179974741717291,2.201044620598482
 TLL04,1.6859527267409866,1.8239482811799295,0.0,1.2775329618731723,1.7491719652282458,1.6944345861835035,1.923783730162885,2.0333928796775753,2.749605218274607,1.7985754684787405,1.8827551233027235,1.6371215676864115,1.534063165763067,1.5987939242907825,1.6959899027330985,6.813186273941118,9.772907504243882,12.585160146304561,10.317073467132388,1.9666812448491529,1.5856844792290756,1.8844921872335507,1.8195195693606145,1.5751264652509593,2.435836812054497,2.4602768654312372,2.4147551194232206,2.2384619691621395,2.1237934272853805,1.9527431815997824,1.817269180345672,1.7551536378212558,1.944793912453856,1.7446686529546356,2.466000333567107,3.8262057938110803,2.544789080195516,2.439608753540068,2.722716209380934,1.7123617635301907,1.6901182760354907,1.8926194754866004,1.9469260723664432,2.2450387219772576,1.860595930990206,1.7754466661564814
 TLL03,1.4383508768729114,3.3840452098915823,1.2775329618731723,0.0,1.535430561317514,1.6772575460944024,1.9507243702125605,1.9740817630268839,2.130437742882429,2.296286649680999,1.8861189184036038,1.7641483527408972,1.8207951220894447,2.1698046636445847,1.765289185299546,5.005028096814876,18.914205326538095,38.59590795359328,111.79697591746735,2.664476637526436,1.5555608719817329,1.8239163710052941,1.8535421609524299,1.8617035146930532,3.2217598095350386,3.370803353087545,2.923822772736062,2.637441442335559,2.4613480539294157,1.8839500150953357,1.7115317137089572,2.021009679022416,2.616930768702037,2.1462217643112265,2.8670980503542354,2.7547173799055438,2.2634575103996495,2.758934032187052,2.555592640730858,2.127679775547994,1.5581032422800138,2.171660623299167,1.968728500413066,2.5211671853937183,1.8725801877456432,1.8499720770828967
 TLL02,1.485852523685476,1.7639510671618668,1.7491719652282458,1.535430561317514,0.0,1.110087512364153,1.4633282159331493,1.568690982624865,4.159216815541826,1.4699347674342496,1.51736025788716,1.5516684482388543,1.6465484993448405,1.667129630855237,1.5947947368374153,3.0648045674262634,4.105533024802383,5.010415235102836,5.721757921065049,1.7062104471368271,1.5751732206175335,1.6906685633518648,1.699714906297454,1.3566360085816542,2.013417961186939,2.22699910038947,2.467529591184921,2.363623082283542,1.692493842967056,1.8739198700300395,2.201387455724493,1.8726808253310676,1.7037167609354902,1.5731469046338566,3.2506015853663497,2.341793256167006,1.8614205896666232,2.329511256986215,2.6879135061655774,1.5901605733892474,1.7642159245467557,1.732939657597507,1.6384292193623027,1.8173939004711088,1.5822203590396446,1.587759227223971
 TLL01,1.459816497534092,1.589874478087374,1.6944345861835035,1.6772575460944024,1.110087512364153,0.0,1.4989380907629553,1.5656235493063262,3.9493462410971785,1.5203107065158845,1.5324698323618406,1.5685104953805191,1.7268725017379754,1.6775532242552078,1.5856347357963432,3.1333937475005462,3.745098385305828,4.102686659839618,4.923044695678876,1.5552277819411249,1.6173528992145831,1.7787104564725966,1.7661757178733233,1.400755596423621,1.7679518493947963,1.9482075322468204,2.228721597132203,2.1200507110156557,1.7138097036393092,1.8505107630124933,2.0523768849134134,1.7331115742991405,1.6678259182131294,1.5152716344309698,3.1230422201551398,2.6195480383848864,1.997025423140239,2.244690987757711,2.6183310857812154,1.56589214766483,2.0208178897962683,1.7904644142007569,1.8311155164940525,1.7740400941077907,1.6127645000780715,1.5613421412401296
 TBAL4,1.419471216609429,1.8091373845541687,1.923783730162885,1.9507243702125605,1.4633282159331493,1.4989380907629553,0.0,1.066441020541213,3.0886275110997095,1.2052345250285295,1.0816646034480615,1.170538510489767,1.4222200354681487,1.4541558081275314,1.5726294903767624,2.8348978165291627,3.861153440855018,4.670258207863379,5.45047965444345,1.54224487064704,1.2795530833573823,1.4110680158997564,1.4043094193018728,1.2048113890093226,1.5615269998832444,1.625824661079289,1.7495165329109763,1.7335897993882112,1.4476598753286487,1.6959191510822524,1.922982837921092,1.4920551085078164,1.3576486059697481,1.3088114747884079,2.3740364031721124,2.0631200951921236,1.6089811881867164,1.9562131408113657,2.126065930754134,1.4371794544064376,1.6379245128762676,1.4627014311341429,1.5200200030376259,1.6824521205216723,1.5874800518799774,1.3912818785179308
 TBAL3,1.4328786189062839,1.9250472838388462,2.0333928796775753,1.9740817630268839,1.568690982624865,1.5656235493063262,1.066441020541213,0.0,2.7057145947022745,1.2652393619910474,1.0895275070802266,1.1293435943127241,1.5482453540317238,1.564972177096501,1.6185894363785296,3.161866504890584,4.898826112333027,6.890843079829519,12.109300632163825,1.728254519067372,1.3072815187012568,1.472532589827399,1.4969776484132107,1.2811766468891708,1.6743073207934909,1.7471254751704108,1.822605045473881,1.7787919451170566,1.5258087002424559,1.7104678096241381,1.9294250157503992,1.5748177366766374,1.4556743805831915,1.3979860516355314,2.587774313941003,2.235184384637259,1.7425064108517643,2.0199324525227906,2.2320686876053513,1.4875222837557234,1.7316156390590312,1.5568510618915892,1.666805797590389,1.7849088459041629,1.6442858416831503,1.3947696513183352
 TBAL2,2.3951979530081284,36.44609850027273,2.749605218274607,2.130437742882429,4.159216815541826,3.9493462410971785,3.0886275110997095,2.7057145947022745,0.0,7.107833163677203,2.7811016065878498,2.223847841982341,2.772321568141422,2.6787413428570233,1.6826018819143365,2.5070338313814164,3.6494562381942885,3.8642699359808916,4.138151841228782,2.8105977961343998,2.1093521788592637,2.508995417224778,2.561581412827584,2.472216218288212,4.576251751286282,4.876702368718158,2.8475122919092186,2.5937105710092916,4.985462253675573,1.7485593673905362,1.3750177124194791,2.2627597867764653,8.347404339221093,2.821273926095056,2.7800771241700155,2.9456618796425507,2.678162775863776,3.0536824800487556,5.139517800085677,2.999339160116568,2.339287430653507,3.2623138880202474,2.8157784212064527,3.3336702497969246,3.023672992528775,2.4722115840520082
 TBAL1,1.841894540115761,1.6004159324459233,1.7985754684787405,2.296286649680999,1.4699347674342496,1.5203107065158845,1.2052345250285295,1.2652393619910474,7.107833163677203,0.0,1.2259521806379066,1.2101300176574863,1.2181813269440482,1.3053311057942323,1.7788694355685486,6.062898982404509,6.945318952812935,6.971784700111575,8.6161722476093,1.5201399294123281,1.3157543854313924,1.4368507507137416,1.3953878614491395,1.1516326817098035,1.5979358909942196,1.6280972636567208,1.75443036322959,1.7166841716718841,1.3879652545701713,1.8604276200248242,2.3222847697853655,1.5718666254428193,1.3228126156758595,1.321767042340327,2.749293796147299,2.0963501027318463,1.659027488258597,1.978453523056101,2.280840643961991,1.3550809102940156,1.8367176526312554,1.5405113532489663,1.5576134563827537,1.5096712083765025,1.4721385298526488,1.527779439589929
